,pono,pono.level,vuosi,nimi,he_kika,ra_ke,ra_raky,ra_muut,ra_asrak,ra_asunn,ra_as_kpa,ra_pt_as,ra_kt_as,tp_tyopy,tp_alku_a,tp_jalo_bf,tp_palv_gu,tr_mtu,te_takk,te_as_valj,he_naiset,hr_hy_tul,hr_ke_tul,hr_ovy,hr_pi_tul,pt_0_14,pt_elakel,pt_opisk,pt_tyoll,pt_tyott,pt_tyovu,te_aik,te_eil_np,te_elak,te_laps,te_nuor,te_omis_as,te_vuok_as,tr_hy_tul,tr_ke_tul,tr_pi_tul,rakennukset_bin,hinta,naiset_bin,yliopistot,amk
1207,39980,5,2018,Sara,49.0,55.0,113.0,14.0,99.0,102.0,89.9,102.0,0.0,54.0,17.0,11.0,26.0,28795.0,2.1,46.1,83.0,0.0845070422535211,0.605633802816901,18566.2042253521,0.309859154929577,0.104046242774566,0.352601156069364,0.0751445086705202,0.369942196531792,0.0578034682080925,0.572254335260116,0.265060240963855,0.0120481927710843,0.542168674698795,0.192771084337349,0.0240963855421687,0.867469879518072,0.108433734939759,0.0987654320987654,0.493827160493827,0.407407407407407,0,924,0,0,0
1208,39990,5,2018,Alkkia,47.0,39.0,79.0,7.0,72.0,63.0,87.3,63.0,0.0,13.0,3.0,8.0,2.0,26021.0,2.1,43.9,40.0,0.0549450549450549,0.604395604395604,18851.1428571429,0.340659340659341,0.163636363636364,0.327272727272727,0.00909090909090909,0.3,0.154545454545455,0.545454545454545,0.411764705882353,0.0,0.431372549019608,0.176470588235294,0.0588235294117647,0.803921568627451,0.137254901960784,0.0754716981132075,0.528301886792453,0.39622641509434,0,840,0,0,0
1209,40100,5,2018,Jyväskylä Keskus,41.0,0.0,573.0,259.0,314.0,9935.0,55.0,51.0,9884.0,18098.0,93.0,1219.0,16785.0,23498.0,1.5,35.8,7644.0,0.131615278416935,0.56366007056297,20329.2053229023,0.304724651020095,0.0491791422579012,0.25131988139148,0.152310696463441,0.441382801764663,0.0829536414261951,0.475663556809142,0.684110689578219,0.137357732648962,0.260209774603883,0.0569069404150859,0.269805846909172,0.365989734434278,0.620508814996653,0.133272582298667,0.494589360975054,0.372138056726279,0,2980,2,1,1
1210,40200,5,2018,Mannila-Taulumäki,37.0,10.0,475.0,60.0,415.0,2411.0,67.3,695.0,1716.0,1120.0,4.0,37.0,1079.0,27762.0,1.8,37.8,2114.0,0.216216216216216,0.549983718658417,23591.6799088245,0.233800065125366,0.143399295201952,0.174573055028463,0.116291677961507,0.466251016535646,0.0807806993765248,0.452968284087829,0.628715134887974,0.0877914951989026,0.196616369455876,0.176040237768633,0.24371284865112,0.550525834476452,0.430269775948788,0.191679049034175,0.506191183754334,0.302129767211491,0,2597,0,0,1
1211,41220,5,2018,Höytiä,44.0,118.0,171.0,13.0,158.0,152.0,98.3,152.0,0.0,33.0,9.0,6.0,18.0,34124.0,2.4,41.1,147.0,0.131147540983607,0.598360655737705,20284.9139344262,0.270491803278689,0.174757281553398,0.297734627831715,0.0614886731391586,0.362459546925566,0.0679611650485437,0.56957928802589,0.338461538461538,0.0153846153846154,0.430769230769231,0.238461538461538,0.00769230769230769,0.961538461538462,0.00769230769230769,0.143939393939394,0.507575757575758,0.348484848484849,0,879,0,0,0
1212,40250,5,2018,Ritoniemi-Lohikoski,40.0,26.0,1146.0,115.0,1031.0,3012.0,83.7,1830.0,1182.0,992.0,6.0,418.0,568.0,35491.0,2.1,40.0,3132.0,0.22280444351289,0.615594215049256,24532.5686438902,0.161601341437854,0.178149606299213,0.225393700787402,0.0843175853018373,0.422736220472441,0.0661089238845144,0.511154855643045,0.470380818053597,0.0550070521861777,0.271156558533145,0.263046544428773,0.0983779971791255,0.688645980253879,0.300423131170663,0.194948416933476,0.613660618996798,0.191390964069726,1,1899,1,0,0
1213,40270,5,2018,Pappilanrinne-Pappilanvuori,38.0,220.0,2394.0,136.0,2258.0,5381.0,86.1,3505.0,1876.0,2185.0,19.0,320.0,1846.0,36713.0,2.3,38.5,5909.0,0.217659137577002,0.621693441236864,24551.0312839715,0.160647421186134,0.219288793103448,0.204471982758621,0.0703125,0.412086925287356,0.0704022988505747,0.517510775862069,0.431013916500994,0.0487077534791252,0.26779324055666,0.305566600397614,0.0813121272365805,0.687077534791252,0.300994035785288,0.180368606336716,0.626009525781735,0.193621867881549,3,1917,2,0,0
1214,40320,5,2018,Seppälän Teollisuusalue,40.0,10.0,1043.0,433.0,610.0,3032.0,67.1,830.0,2202.0,8172.0,22.0,2359.0,5791.0,26933.0,1.8,37.4,2662.0,0.136470588235294,0.647529411764706,20900.2032941176,0.216,0.140897511267882,0.226141485400745,0.0826964530668234,0.419361160101901,0.101116990005879,0.47952184989222,0.580264569181266,0.0854486950303897,0.251698248122989,0.169109760457633,0.168037182695745,0.504111548087236,0.477654629960672,0.111151339608979,0.599203475742216,0.289645184648805,0,1757,0,0,1
1215,40500,5,2018,Keljo-Ristonmaa,38.0,39.0,622.0,89.0,533.0,1859.0,70.1,799.0,1060.0,2443.0,2.0,411.0,2030.0,27566.0,2.0,36.6,1616.0,0.167194649771207,0.511791622668075,20084.0739176346,0.321013727560718,0.120658682634731,0.175449101796407,0.141317365269461,0.420359281437126,0.0877245508982036,0.491916167664671,0.635119047619048,0.0803571428571429,0.200595238095238,0.167857142857143,0.189285714285714,0.468452380952381,0.520238095238095,0.15,0.5,0.35,0,2216,0,1,0
1216,40340,5,2018,Huhtasuo,42.0,2.0,376.0,64.0,312.0,4028.0,61.7,405.0,3623.0,902.0,0.0,164.0,738.0,22013.0,1.7,36.0,3288.0,0.0605642138488854,0.673900177549813,17888.5916354311,0.265535608601302,0.152784542945283,0.265789900957948,0.0904367592141581,0.299399253125507,0.149050170482221,0.551550576392271,0.545701849836779,0.0337323177366703,0.272578890097933,0.184439608269859,0.168117519042437,0.378128400435256,0.606365614798694,0.0466101694915254,0.514124293785311,0.439265536723164,0,1118,1,0,0
1217,40400,5,2018,Halssila,39.0,1.0,634.0,61.0,573.0,2156.0,74.5,1146.0,1010.0,533.0,1.0,69.0,463.0,31926.0,2.1,36.5,2183.0,0.179939209726444,0.642553191489362,22707.488449848,0.177507598784195,0.197877358490566,0.198349056603774,0.0721698113207547,0.427594339622641,0.0794811320754717,0.492924528301887,0.474635861376193,0.072325464590658,0.266197890507283,0.26067302862883,0.108990457056755,0.655449522852838,0.332998493219488,0.143213572854291,0.621756487025948,0.23502994011976,0,1824,0,0,0
1218,40420,5,2018,Jyskä,38.0,4.0,1070.0,51.0,1019.0,2359.0,80.2,1646.0,713.0,919.0,7.0,382.0,530.0,33426.0,2.1,38.3,2371.0,0.193110930295633,0.62842419311093,23472.6186601573,0.178464876593436,0.199958514830948,0.166355527898776,0.0728064716863721,0.436838830118233,0.0997718315702136,0.463389338311554,0.510058113544926,0.0424675905230219,0.21502011622709,0.277156906571301,0.0965578900312919,0.661600357621815,0.3272239606616,0.162873717090585,0.623828647925033,0.213297634984382,1,1758,0,0,0
1219,40520,5,2018,Kuokkala-Ristikivi,36.0,153.0,2174.0,264.0,1910.0,9104.0,68.8,2532.0,6572.0,1747.0,13.0,236.0,1498.0,28369.0,2.0,35.7,8152.0,0.182317026045289,0.559935079990726,21939.6313470902,0.257747893963985,0.168303293971411,0.15183343691734,0.129645742697328,0.425543816034804,0.0954008701056557,0.47905531385954,0.611509930605408,0.0981095955970328,0.172529313232831,0.217157214644652,0.167863125149557,0.387532902608279,0.603852596314908,0.157144627587062,0.513694385921428,0.329160986491511,2,2171,2,0,0
